date,cases,deaths,overall_mortality_rate,fully_vaccinated_individuals,vaccination_rate
2020-01-20,5,0,0,0,0
2020-01-27,3,0,0,0,0
2020-02-03,4,0,0,0,0
2020-02-10,2,0,0,0,0
2020-02-17,2,0,0,0,0
2020-02-24,16,1,0.03125,0,0
2020-03-02,487,20,0.040462428,0,0
2020-03-09,2693,49,0.021793275,0,0
2020-03-16,31732,533,0.017256181,0,0
2020-03-23,108600,2970,0.024891323,0,0
2020-03-30,205472,9244,0.036723245,0,0
2020-04-06,218006,14889,0.048862302,0,0
2020-04-13,196864,15251,0.056234831,0,0
2020-04-20,206855,14920,0.059621464,0,0
2020-04-27,191166,13172,0.061148612,0,0
2020-05-04,170426,12066,0.062383053,0,0
2020-05-11,155994,9828,0.06244797,0,0
2020-05-18,154981,8275,0.061594053,0,0
2020-05-25,144931,6527,0.060252013,0,0
2020-06-01,149555,5736,0.058561952,0,0
2020-06-08,149833,4987,0.056747685,0,0
2020-06-15,189541,4163,0.053852417,0,0
2020-06-22,276805,3874,0.04953263,0,0
2020-06-29,346363,3694,0.044891006,0,0
2020-07-06,409788,5447,0.040979129,0,0
2020-07-13,451592,5562,0.037538187,0,0
2020-07-20,459474,6576,0.035010033,0,0
2020-07-27,427186,7915,0.033495354,0,0
2020-08-03,396656,7370,0.032322689,0,0
2020-08-10,372654,7166,0.031422087,0,0
2020-08-17,298938,5987,0.030826236,0,0
2020-08-24,292891,6243,0.030362683,0,0
2020-08-31,281518,5863,0.029935942,0,0
2020-09-07,254890,5020,0.029537164,0,0
2020-09-14,290925,5305,0.029056226,0,0
2020-09-21,284779,5347,0.02864514,0,0
2020-09-28,300503,4859,0.028140035,0,0
2020-10-05,346274,5122,0.02754504,0,0
2020-10-12,391358,5233,0.026865244,0,0
2020-10-19,490957,5789,0.026009746,0,0
2020-10-26,584579,6014,0.025014569,0,0
2020-11-02,808709,7335,0.023730768,0,0
2020-11-09,1043269,8148,0.022232693,0,0
2020-11-16,1210081,11151,0.020951738,0,0
2020-11-23,1175747,10936,0.01993505,0,0
2020-11-30,1405119,16170,0.019139181,0,0
2020-12-07,1530502,17836,0.018440982,0,0
2020-12-14,1552185,19269,0.017920139,0,0
2020-12-21,1317756,16511,0.017551681,0,0
2020-12-28,1567241,19070,0.017146915,0,0
2021-01-04,1744017,23028,0.016842509,0,0
2021-01-11,1529926,23475,0.016747451,0,0
2021-01-18,1187752,21821,0.01682368,"1,610,524",0.004852529
